Id,Name,BirthDate
127,Pinsir,2024-07-15
128,Tauros,2020-12-25
129,Magikarp,2021-06-25
130,Gyarados,2022-10-18
131,Lapras,2021-11-28
132,Ditto,2023-07-27
133,Eevee,2024-10-03
134,Vaporeon,2020-07-27
135,Jolteon,2021-06-20
136,Flareon,2021-03-10
137,Porygon,2021-05-10
138,Omanyte,2023-02-14
139,Omastar,2022-12-03
140,Kabuto,2024-01-20
141,Kabutops,2024-10-26
142,Aerodactyl,2021-01-01
143,Snorlax,2021-04-05
144,Articuno,2020-07-10
145,Zapdos,2024-01-05
146,Moltres,2023-12-07
147,Dratini,2022-10-15
148,Dragonair,2020-03-26
149,Dragonite,2024-04-30
150,Mewtwo,2022-02-18
151,Mew,2024-04-19
152,Chikorita,2022-02-09
153,Bayleef,2023-03-02
154,Meganium,2022-10-04
155,Cyndaquil,2023-09-20
156,Quilava,2023-09-11
157,Typhlosion,2024-09-09
158,Totodile,2021-12-23
159,Croconaw,2021-10-29
160,Feraligatr,2021-01-21
161,Sentret,2023-10-21
162,Furret,2024-03-02
163,Hoothoot,2022-05-13
164,Noctowl,2023-07-08
165,Ledyba,2020-01-24
166,Ledian,2021-11-01
167,Spinarak,2021-02-14
168,Ariados,2022-02-18
169,Crobat,2024-02-04
170,Chinchou,2020-03-27
171,Lanturn,2022-09-01
172,Pichu,2022-06-11
173,Cleffa,2020-10-30
174,Igglybuff,2023-02-11
175,Togepi,2022-01-26
176,Togetic,2020-04-28
177,Natu,2022-12-31
178,Xatu,2020-05-02
179,Mareep,2022-04-21
180,Flaaffy,2021-07-28
181,Ampharos,2023-05-16
182,Bellossom,2023-04-04
183,Marill,2024-03-05
184,Azumarill,2020-11-14
185,Sudowoodo,2021-03-17
186,Politoed,2021-12-27
187,Hoppip,2021-12-16
188,Skiploom,2024-03-31
189,Jumpluff,2020-06-13
190,Aipom,2024-11-07
191,Sunkern,2022-02-01
192,Sunflora,2024-11-12
193,Yanma,2021-04-21
194,Wooper,2021-03-07
195,Quagsire,2020-12-30
196,Espeon,2020-07-21
197,Umbreon,2022-08-11
198,Murkrow,2024-07-29
199,Slowking,2022-10-01
200,Misdreavus,2024-10-13
201,Unown,2020-06-01
202,Wobbuffet,2022-04-06
203,Girafarig,2021-12-25
204,Pineco,2021-05-26
205,Forretress,2024-11-29
206,Dunsparce,2021-06-27
207,Gligar,2021-05-11
208,Steelix,2024-10-06
209,Snubbull,2022-06-27
210,Granbull,2024-10-10
211,Qwilfish,2024-01-20
212,Scizor,2023-03-07
213,Shuckle,2022-10-05
214,Heracross,2022-12-14
215,Sneasel,2020-12-01
216,Teddiursa,2022-11-13
217,Ursaring,2023-06-22
218,Slugma,2023-10-13
219,Magcargo,2020-12-26
220,Swinub,2021-08-24
221,Piloswine,2022-12-28
222,Corsola,2020-10-11
223,Remoraid,2020-03-14
224,Octillery,2022-12-23
225,Delibird,2020-05-03
226,Mantine,2021-09-24
227,Skarmory,2022-05-11
228,Houndour,2020-09-02
229,Houndoom,2021-01-24
230,Kingdra,2022-03-08
231,Phanpy,2020-09-11
232,Donphan,2020-01-06
233,Porygon2,2024-06-04
234,Stantler,2024-01-20
235,Smeargle,2021-04-28
236,Tyrogue,2022-11-25
237,Hitmontop,2024-01-31
238,Smoochum,2022-06-23
239,Elekid,2021-04-24
240,Magby,2023-10-16
241,Miltank,2023-11-05
242,Blissey,2022-08-03
243,Raikou,2024-03-09
244,Entei,2020-07-23
245,Suicune,2023-02-22
246,Larvitar,2020-02-17
247,Pupitar,2022-08-21
248,Tyranitar,2022-03-03
249,Lugia,2020-09-04
250,Ho-Oh,2021-06-29
251,Celebi,2021-03-20
